,unitid,year,opeid.x,opeid6,fips.x.x,years_since_entering_repay,cohort_year.x,repay_rate,repay_rate_lowincome,repay_rate_midincome,repay_rate_highincome,repay_rate_dependent,repay_rate_independent,repay_rate_pell,repay_rate_nopell,repay_rate_female,repay_rate_male,repay_rate_firstgen,repay_rate_notfirstgen,repay_count,repay_count_lowincome,repay_count_midincome,repay_count_highincome,repay_count_dependent,repay_count_independent,repay_count_pell,repay_count_nopell,repay_count_female,repay_count_male,repay_count_firstgen,repay_count_notfirstgen,fips.y.x,cohort_year.y,race,sex,completion_rate_150pct,fips.x.y,est_fte,fips.y.y,type_of_aid,number_of_students,percent_of_students,average_amount,fips,opeid.y,inst_name_fsa,loan_type,loan_recipients_unitid,num_loans_disbursed_unitid,num_loans_originated_unitid,value_loans_originated_unitid,value_loan_disbursements_unitid,loan_recipients_opeid,num_loans_disbursed_opeid,num_loans_originated_opeid,value_loans_originated_opeid,value_loan_disbursements_opeid,allocation_flag,combined_flag,other_assoc_opeids,hbcu
96,101736,2012,569700,5697,1,5,2007,0.507878,0.422695,0.659236,0.716667,0.575639,0.447368,0.446756,0.698473,0.502024,0.52071,0.489766,0.539241,1079,705,314,60,509,570,817,262,741,338,684,395,1,2010,1,99,0.129,1,2702,1,1,652,0.9,NA,1,569700,NORTHWEST - SHOALS COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
97,101879,2010,101600,1016,1,3,2007,0.648683,0.561662,0.725424,0.724806,0.665796,0.604494,0.592742,0.740864,0.662624,0.630277,0.638814,0.657277,1594,746,590,258,1149,445,992,602,907,687,742,852,1,2005,1,99,0.32,1,5435,1,1,748,0.78,NA,1,101600,UNIVERSITY OF NORTH ALABAMA,1,2515,4933,2774,9309207,9263149,2515,4933,2774,9309207,9263149,0,0,,No
99,101879,2012,101600,1016,1,5,2007,0.666667,0.58,0.72973,0.776952,0.685366,0.617521,0.622411,0.740566,0.683557,0.644323,0.651282,0.679739,1698,800,629,269,1230,468,1062,636,967,731,780,918,1,2007,1,99,0.381,1,5292,1,1,871,0.82,NA,1,101600,UNIVERSITY OF NORTH ALABAMA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
101,101897,2010,103100,1031,1,3,2007,0.533865,0.471519,-3,-3,0.654545,0.474777,0.48329,0.707965,0.509284,0.608,0.547112,0.508671,502,316,165,21,165,337,389,113,377,125,329,173,1,2008,1,99,0.238,1,2903,1,1,628,0.94,NA,1,103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,1,444,1062,553,1160722,1083194,444,1062,553,1160722,1083194,0,0,,No
102,101897,2012,103100,1031,1,5,2007,0.573643,0.506061,-3,-3,0.708333,0.508621,0.533499,0.716814,0.545692,0.654135,0.585294,0.551136,516,330,165,21,168,348,403,113,383,133,340,176,1,2010,1,99,0.243,1,2409,1,1,562,0.93,NA,1,103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
103,101912,2010,103300,1033,1,3,2007,0.358643,0.277778,0.352381,0.561983,0.352475,0.385965,0.305046,0.486339,0.388235,0.322581,0.316901,0.371069,619,288,210,121,505,114,436,183,340,279,142,477,1,2005,1,99,NA,1,1802,1,1,455,1,NA,1,103300,OAKWOOD UNIVERSITY,1,1314,2352,1359,5421062,5407662,1314,2352,1359,5421062,5407662,0,0,,Yes
105,101912,2012,103300,1033,1,5,2007,0.408408,0.372611,0.386957,0.540984,0.408425,0.408333,0.369748,0.505263,0.455285,0.350168,0.39726,0.411538,666,314,230,122,546,120,476,190,369,297,146,520,1,2007,1,99,NA,1,1777,1,1,384,0.94,NA,1,103300,OAKWOOD UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
108,102049,2010,103600,1036,1,3,2007,0.793814,0.639456,0.780374,0.909502,0.841438,0.587156,0.683417,0.851175,0.793651,0.794118,0.653846,0.834071,582,147,214,221,473,109,199,383,378,204,130,452,1,2005,1,99,0.715,1,3105,1,1,689,0.97,NA,1,103600,SAMFORD UNIVERSITY,1,916,1754,971,3751169,3721914,916,1754,971,3751169,3721914,0,0,,No
110,102049,2012,103600,1036,1,5,2007,0.836276,0.701863,0.827273,0.933884,0.879447,0.649573,0.755869,0.878049,0.831658,0.844444,0.759124,0.858025,623,161,220,242,506,117,213,410,398,225,137,486,1,2007,1,99,0.702,1,3100,1,1,688,0.98,NA,1,103600,SAMFORD UNIVERSITY,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
112,102076,2012,103800,1038,1,5,2007,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,2010,1,99,0.359,1,2023,1,1,625,0.96,NA,1,103800,SNEAD STATE COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
